id,title,year,doi,venue,cited_by_count
https://openalex.org/W4400908959,Optimization analysis of average message delivery time for healthcare monitoring using a developed NB-IoT technology in a smart city,2024,https://doi.org/10.1016/j.iot.2024.101290,Internet of Things,8
https://openalex.org/W4391547675,A New PUF-Based Protocol for Mutual Authentication and Key Agreement Between Three Layers of Entities in Cloud-Based IoMT Networks,2024,https://doi.org/10.1109/access.2024.3361921,IEEE Access,7
https://openalex.org/W4372269045,IoT Evolution and Recent Advancements,2023,https://doi.org/10.1109/icaccs57279.2023.10112761,2022 8th International Conference on Advanced Computing and Communication Systems (ICACCS),12
https://openalex.org/W4406849041,Cognitive IoT Collusion SSDF Attack Detection Based on FP-Growth Algorithm,2025,https://doi.org/10.1007/s10922-025-09900-9,Journal of Network and Systems Management,1
https://openalex.org/W4410199002,Leaves for high power density hydrovoltaic generators,2025,https://doi.org/10.1016/j.isci.2025.112601,iScience,1
https://openalex.org/W4410617461,A multi-strategy enhanced dung beetle algorithm for solving real-world engineering problems,2025,https://doi.org/10.1007/s10462-025-11235-5,Artificial Intelligence Review,1
https://openalex.org/W4385221014,HAPS-Based Interference Suppression Through Null Broadening With Directivity Control in Space-Air-Ground Integrated Networks,2023,https://doi.org/10.1109/tvt.2023.3295385,IEEE Transactions on Vehicular Technology,11
https://openalex.org/W4206717753,High-Sensitivity and Compact Time Domain Soil Moisture Sensor Using Dispersive Phase Shifter for Complex Permittivity Measurement,2021,https://doi.org/10.1109/tim.2021.3132367,IEEE Transactions on Instrumentation and Measurement,20
https://openalex.org/W4295084703,Traffic-Aware Secured Cooperative Framework for IoT-Based Smart Monitoring in Precision Agriculture,2022,https://doi.org/10.3390/s22176676,Sensors,15
https://openalex.org/W3216181886,TEMSEP: Threshold-Oriented and Energy-Harvesting Enabled Multilevel SEP Protocol for Improving Energy-Efficiency of Heterogeneous WSNs,2021,https://doi.org/10.1109/access.2021.3128507,IEEE Access,18
https://openalex.org/W4323971836,Foldable RF Energy Harvesting System Based on Vertically Layered Metal Electrodes within a Single Sheet of Paper,2023,https://doi.org/10.1002/adma.202300197,Advanced Materials,9
https://openalex.org/W4321021758,Statistical Learning-Based Adaptive Network Access for the Industrial Internet of Things,2023,https://doi.org/10.1109/jiot.2023.3245585,IEEE Internet of Things Journal,8
https://openalex.org/W4392397070,The Impacts of 6G Technologies on Achieving Economic Sustainability Goals in Digital Transformation Point of View: Literature Review,2024,https://doi.org/10.1007/978-3-031-53991-6_48,Lecture notes in mechanical engineering,4
https://openalex.org/W4200537793,Recent Advances in New Materials for 6G Communications,2021,https://doi.org/10.1002/aelm.202100978,Advanced Electronic Materials,15
https://openalex.org/W4210771822,Internet of Things Networks: Enabling Simultaneous Wireless Information and Power Transfer,2022,https://doi.org/10.1109/mmm.2021.3130710,IEEE Microwave Magazine,11
https://openalex.org/W4378976228,Multiservice Compact Pixelated Stacked Antenna With Different Pixel Shapes for IoT Applications,2023,https://doi.org/10.1109/jiot.2023.3281816,IEEE Internet of Things Journal,7
https://openalex.org/W4387042200,Ultra-Fast and Efficient Design Method Using Deep Learning for Capacitive Coupling WPT System,2023,https://doi.org/10.1109/tpel.2023.3319505,IEEE Transactions on Power Electronics,7
https://openalex.org/W3198064290,Privacy Preservation of User Identity in Contact Tracing for COVID-19-Like Pandemics Using Edge Computing,2021,https://doi.org/10.1109/access.2021.3110762,IEEE Access,14
https://openalex.org/W4385452916,Compact Multiservice Antenna for Sensing and Communication Using Reconfigurable Complementary Spiral Resonator,2023,https://doi.org/10.1109/tim.2023.3300466,IEEE Transactions on Instrumentation and Measurement,6
https://openalex.org/W4387650641,Extruder Machine Gear Fault Detection Using Autoencoder LSTM via Senor Fusion Approach,2023,https://doi.org/10.20944/preprints202310.0467.v1,,6
https://openalex.org/W4388627545,Real-Time Lightweight Cloud-Based Access Control for Wearable IoT Devices: A Zero Trust Protocol,2023,https://doi.org/10.1145/3628356.3630118,,6
https://openalex.org/W4399433472,TinyML for 5G networks,2024,https://doi.org/10.1016/b978-0-44-322202-3.00014-2,Elsevier eBooks,3
https://openalex.org/W4312767947,A Secure One-to-Many Authentication and Key Agreement Scheme for Industrial IoT,2022,https://doi.org/10.1109/jsyst.2022.3209868,IEEE Systems Journal,9
https://openalex.org/W4406113507,Japanese waka translation supported by internet of things and artificial intelligence technology,2025,https://doi.org/10.1038/s41598-025-85184-y,Scientific Reports,0
https://openalex.org/W4407597248,Lightweight batch authentication and key agreement scheme for IIoT gateways,2025,https://doi.org/10.1016/j.sysarc.2025.103368,Journal of Systems Architecture,0
https://openalex.org/W4408106007,Q-learning based heterogeneous network selection decision algorithm for ultra reliable and low latency communication services,2025,https://doi.org/10.1007/s11276-025-03931-5,Wireless Networks,0
https://openalex.org/W4410778936,Minimizing IoT Energy Consumption Using BLE and Metaprotocol Architecture,2025,https://doi.org/10.1155/dsn/7859748,International Journal of Distributed Sensor Networks,0
https://openalex.org/W4411435299,Архитектурные уязвимости IoT-устройств в контексте атак по сторонним каналам,2025,https://doi.org/10.24108/preprints-3113590,,0
https://openalex.org/W4411863072,Optimizing lightweight neural networks for efficient mobile edge computing,2025,https://doi.org/10.1038/s41598-025-04652-7,Scientific Reports,0
https://openalex.org/W4412059001,Distributed Reinforcement Learning Based Efficient Radio Resource Allocation For Heterogeneous IoT Wireless Network,2025,https://doi.org/10.22399/ijcesen.2852,International Journal of Computational and Experimental Science and Engineering,0
https://openalex.org/W4413070496,Agriculture 4.0 as a way forward to sustainable agriculture in Australia,2025,https://doi.org/10.1002/jsf2.70014,JSFA reports,0
https://openalex.org/W4413365798,A survey on communication and computing resources allocation and management for cohesive clustered satellites systems,2025,https://doi.org/10.1007/s11432-024-4450-6,Science China Information Sciences,0
https://openalex.org/W4414569248,High-precision wearable ionic composite sensor array with material-circuit-software co-design for multi-scenario biomechanical monitoring,2025,https://doi.org/10.1016/j.sna.2025.117106,Sensors and Actuators A Physical,0
https://openalex.org/W4414613236,IoT-Based Smart Energy Management and Load Shifting for Residential Consumption Optimization,2025,https://doi.org/10.18466/cbayarfbe.1660181,Celal Bayar Üniversitesi Fen Bilimleri Dergisi,0
https://openalex.org/W4414773392,"Adaptive network switching algorithm for sensor data transfer: a simulation framework integrating GSM, Wi-Fi, and LoRa networks",2025,https://doi.org/10.3389/friot.2025.1520653,Frontiers in the Internet of Things,0
https://openalex.org/W4205852204,Blockchain-based trust management for verifiable time synchronization service in IoT,2022,https://doi.org/10.1007/s12083-021-01276-2,Peer-to-Peer Networking and Applications,8
https://openalex.org/W4214821975,Statistical Learning-Based Grant-Free Access for Delay-Sensitive Internet of Things Applications,2022,https://doi.org/10.1109/tvt.2022.3155719,IEEE Transactions on Vehicular Technology,8
https://openalex.org/W4388297117,Extruder Machine Gear Fault Detection Using Autoencoder LSTM via Sensor Fusion Approach,2023,https://doi.org/10.3390/inventions8060140,Inventions,5
https://openalex.org/W4389610350,Bandwidth Usage Reduction by Traffic Prediction Using Transfer Learning in Satellite Communication Systems,2023,https://doi.org/10.1109/tvt.2023.3341442,IEEE Transactions on Vehicular Technology,5
https://openalex.org/W4402564343,Quantifying Impact: Bibliometric Examination of IoT's Evolution in Sustainable Development,2024,https://doi.org/10.1016/j.iot.2024.101370,Internet of Things,2
https://openalex.org/W4301185554,Electrically Tunable Microwave Technologies With Ferromagnetic Thin Film: Recent Advances in Design Techniques and Applications,2022,https://doi.org/10.1109/mmm.2022.3196415,IEEE Microwave Magazine,7
https://openalex.org/W4386735970,Mission-Critical Internet of Things on the 6G Network: Services and Apps with Networking Architecture,2023,https://doi.org/10.36227/techrxiv.24115869.v1,,4
https://openalex.org/W4388792679,Non-optimal impacts of internet expansion on community capacity in rural areas,2023,https://doi.org/10.1016/j.resglo.2023.100176,Research in Globalization,4
https://openalex.org/W4389576020,Mission-Critical Internet of Things on the 6G Network: Services and Apps with Networking Architecture,2023,https://doi.org/10.1109/vtc2023-fall60731.2023.10333821,2021 IEEE 94th Vehicular Technology Conference (VTC2021-Fall),4
https://openalex.org/W4284885099,Low-profile dual-band pixelated defected ground antenna for multistandard IoT devices,2022,https://doi.org/10.1038/s41598-022-15604-w,Scientific Reports,5
https://openalex.org/W4403242148,A Spectral-Based Blade Fault Detection in Shot Blast Machines with XGBoost and Feature Importance,2024,https://doi.org/10.3390/jsan13050064,Journal of Sensor and Actuator Networks,1
https://openalex.org/W4405891055,Revolutionizing Healthcare with IoT in Cardiology,2024,https://doi.org/10.1002/9781394287024.ch9,,1
https://openalex.org/W4301314417,Efficient Dual-Band Single-Port Rectifier for RF Energy Harvesting at FM and GSM Bands,2022,https://doi.org/10.1109/wpw54272.2022.9854025,2022 Wireless Power Week (WPW),4
https://openalex.org/W4391924554,Multi-Agent Multi-Armed Bandit Learning for Grant-Free Access in Ultra-Dense IoT Networks,2024,https://doi.org/10.1109/tccn.2024.3366908,IEEE Transactions on Cognitive Communications and Networking,1
https://openalex.org/W4401536999,Novel Robust Perspective Rectification for Automatic Circular-Meter Reading,2024,https://doi.org/10.1109/jsen.2024.3439883,IEEE Sensors Journal,1
https://openalex.org/W4322622686,Evaluation of Quantum Key Distribution for Secure Satellite-integrated IoT Networks,2023,https://doi.org/10.34190/iccws.18.1.982,International Conference on Cyber Warfare and Security,2
https://openalex.org/W4362733384,Sensing and Device Neighborhood-Based Slot Assignment Approach for the Internet of Things,2023,https://doi.org/10.3390/app13084682,Applied Sciences,2
https://openalex.org/W4377101104,Design of high-efficiency circularly polarized wideband energy harvesting rectenna using characteristic mode analysis,2023,https://doi.org/10.1016/j.aeue.2023.154702,AEU - International Journal of Electronics and Communications,2
https://openalex.org/W4384077440,Detecting BrakTooth Attacks,2023,https://doi.org/10.5220/0012128000003555,,2
https://openalex.org/W4387827722,IoT-Driven Smart Car Integration with Google Firebase for Empowering Premises Security,2023,https://doi.org/10.1109/miucc58832.2023.10278358,,2
https://openalex.org/W4387934890,A Self-Sustainable and Micro-Second Time Synchronized Multi-Node Wireless System for Aerodynamic Monitoring on Wind Turbines,2023,https://doi.org/10.1109/access.2023.3327422,IEEE Access,2
https://openalex.org/W4389076484,Machine-Learning-Based Predictive Modeling Analysis in Ambient RF Energy Harvesting for IoT Systems,2023,https://doi.org/10.1109/jsen.2023.3334491,IEEE Sensors Journal,1
https://openalex.org/W4312328556,A Nested Texture Inspired Novel Image Pattern Based Optical Camera Communication,2022,https://doi.org/10.1109/access.2022.3213701,IEEE Access,2
https://openalex.org/W4317857041,Hybridization of Triboelectric Nanogenerators with Solar Panel,2023,https://doi.org/10.1007/978-3-031-05722-9_36-1,Springer eBooks,1
https://openalex.org/W4377234855,Electromagnetic Signal Analysis: A Vulnerability to Edge Computing Driven IoT Devices,2023,https://doi.org/10.1109/i3cs58314.2023.10127273,,1
https://openalex.org/W4379117922,Adopting Digital Twin and Internet of Things in the Construction Industry: A SWOT Analysis,2023,https://doi.org/10.1007/978-3-031-32511-3_169,Lecture notes in civil engineering,1
https://openalex.org/W4382052847,A Hierarchical Security Protection Architecture for Power Internet of Things,2023,https://doi.org/10.1109/icccbda56900.2023.10154779,,1
https://openalex.org/W4385568597,Internet of Things (IoT) in Soil Management for Achieving Smart Agriculture,2023,https://doi.org/10.1002/9781119911999.ch20,,1
https://openalex.org/W4386736036,Mission-Critical Internet of Things on the 6G Network: Services and Apps with Networking Architecture,2023,https://doi.org/10.36227/techrxiv.24115869,,1
https://openalex.org/W4210916533,Deep Learning Techniques Implement Circuit board inspection in Smart Industrial,2021,https://doi.org/10.1109/impact53160.2021.9696677,,2
https://openalex.org/W4391097392,NLP-Based Test Co-evolution Prediction for IoT Application Maintenance,2024,https://doi.org/10.1007/978-981-99-9896-8_11,Lecture notes in computer science,0
https://openalex.org/W4392114240,"Enabling Wireless Communications, Energy Harvesting, and Energy Saving by Using a Multimode Smart Nonlinear Circuit (MSNC)",2024,https://doi.org/10.1109/tim.2024.3369141,IEEE Transactions on Instrumentation and Measurement,0
https://openalex.org/W4401626099,Spectral-Based Fault Diagnosis Methodology for Industrial Shot Blast Machinery Leveraging XGBoost and Feature Importance,2024,https://doi.org/10.20944/preprints202408.0942.v1,,0
https://openalex.org/W4402262211,Physical Layer Security in Intelligent Reflecting Surface-Enabled Small NOMA IoT Network,2024,https://doi.org/10.1109/wincom62286.2024.10658589,,0
https://openalex.org/W4403328942,Foundations of the Internet of Behavior,2024,https://doi.org/10.4018/979-8-3693-8151-9.ch001,Advances in educational technologies and instructional design book series,0
https://openalex.org/W4311890420,Machine Learning Based Industrial Engineering With 6G Technology,2022,https://doi.org/10.47750/pnr.2022.13.s09.46,Journal of Pharmaceutical Negative Results,1
https://openalex.org/W4321062427,A Novel 2D LED Matrix and Aztec Pattern Inspired Optical Camera Communication for Industrial IoT,2022,https://doi.org/10.1109/indicon56171.2022.10040141,2021 IEEE 18th India Council International Conference (INDICON),1
https://openalex.org/W4327641252,Speeding up Machine Learning Inference on Edge Devices by Improving Memory Access Patterns using Coroutines,2022,https://doi.org/10.1109/cse57773.2022.00011,,1
https://openalex.org/W4376142167,Blockchain-based cloud-edge clock calibration in IoT,2023,https://doi.org/10.1007/s12083-023-01475-z,Peer-to-Peer Networking and Applications,0
https://openalex.org/W4386184327,Hybridization of Triboelectric Nanogenerators with Solar Panel,2023,https://doi.org/10.1007/978-3-031-28111-2_36,Springer eBooks,0
https://openalex.org/W4386267954,Resource provisioning model for executing realistic workload in heterogenous internet of things environment,2023,https://doi.org/10.11591/ijeecs.v32.i1.pp318-327,Indonesian Journal of Electrical Engineering and Computer Science,0
https://openalex.org/W4386584124,Scalability and Sustainability in the Construction of a Social Sports Management Information Platform based on Web Technology,2023,https://doi.org/10.12694/scpe.v24i3.2382,Scalable Computing Practice and Experience,0
https://openalex.org/W4388192965,Isotropic Radiation Coverage in IoT: Water Drop-Shaped Ultra-Wideband Antenna,2023,https://doi.org/10.1109/ccpis59145.2023.10292069,,0
https://openalex.org/W4390021817,Wireless Sensor Network Coverage Optimization for Internet of Things,2023,https://doi.org/10.3897/jucs.103738,JUCS - Journal of Universal Computer Science,0
https://openalex.org/W4293482561,A Novel RAW Slot Allocation Scheme for Improving the Performance of IEEE 802.11ah Multi-rate IoT Networks,2022,https://doi.org/10.1007/978-981-19-2004-2_54,Lecture notes in electrical engineering,0
https://openalex.org/W4312382734,Introduction,2022,https://doi.org/10.1007/978-981-19-5619-5_1,SpringerBriefs in applied sciences and technology,0
https://openalex.org/W3216081562,Diffuse scattering and physical optics in the propagation of electromagnetic waves applied to mobile communications,2021,https://doi.org/10.1088/1742-6596/2102/1/012009,Journal of Physics Conference Series,0
